Id,Title,Year,Rating,Views,Likes,Minutes,Tagline,Language,Countries,Directors,Cast
467061,The Ballad of Buster Scruggs,2018,3.7,423978,103609,132,Stories live forever. People don’t.,English,['USA'],"['Joel Coen', 'Ethan Coen']","['Tim Blake Nelson', 'Willie Watson', 'Clancy Brown', 'Danny McCarthy', 'David Krumholtz']"
228482,The Neon Demon,2016,3.2,324646,70973,118,Beauty is vicious.,English,"['Denmark', 'France', 'USA', 'Belgium']",['Nicolas Winding Refn'],"['Elle Fanning', 'Karl Glusman', 'Jena Malone', 'Bella Heathcote', 'Abbey Lee']"
332437,You Were Never Really Here,2017,3.7,304038,77184,89,Based on true events.,English,"['France', 'UK']",['Lynne Ramsay'],"['Joaquin Phoenix', 'Judith Roberts', 'Ekaterina Samsonov', 'John Doman', 'Alex Manette']"
47295,Monster House,2006,3.4,706432,122645,91,The house is . . . alive!,English,['USA'],['Gil Kenan'],"['Mitchel Musso', 'Sam Lerner', 'Spencer Locke', 'Steve Buscemi', 'Maggie Gyllenhaal']"
47255,Click,2006,2.8,739118,89598,107,What If You Had A Remote… That Controlled Your Universe?,English,['USA'],['Frank Coraci'],"['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff', 'Henry Winkler']"
850375,A Haunting in Venice,2023,3.0,324168,56278,104,Death was only the beginning.,English,"['UK', 'USA']",['Kenneth Branagh'],"['Kenneth Branagh', 'Kyle Allen', 'Camille Cottin', 'Jamie Dornan', 'Tina Fey']"
27285,Tarzan,1999,3.7,814752,129308,88,An immortal legend. As you’ve only imagined.,English,['USA'],"['Kevin Lima', 'Chris Buck']","['Tony Goldwyn', 'Minnie Driver', 'Glenn Close', 'Alex D. Linz', ""Rosie O'Donnell""]"
50580,Training Day,2001,4.0,436844,114804,122,"The only thing more dangerous than the line being crossed, is the cop who will cross it.",English,['USA'],['Antoine Fuqua'],"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger', 'Harris Yulin']"
51068,Y Tu Mamá También,2001,4.2,270964,95552,106,Life has its ways of teaching,Spanish,['Mexico'],['Alfonso Cuarón'],"['Diego Luna', 'Gael García Bernal', 'Maribel Verdú', 'Daniel Giménez Cacho', 'Diana Bracho']"
305811,First Man,2018,3.7,339839,75909,141,One giant leap into the unknown,English,['USA'],['Damien Chazelle'],"['Ryan Gosling', 'Claire Foy', 'Jason Clarke', 'Kyle Chandler', 'Corey Stoll']"
38544,Orphan,2009,3.3,548424,92208,122,Can you keep a secret?,English,"['Canada', 'France', 'Germany', 'USA']",['Jaume Collet-Serra'],"['Vera Farmiga', 'Peter Sarsgaard', 'Isabelle Fuhrman', 'CCH Pounder', 'Aryana Engineer']"
47438,Hellraiser,1987,3.5,359587,98299,94,He’ll tear your soul apart.,English,"['UK', 'USA']",['Clive Barker'],"['Clare Higgins', 'Ashley Laurence', 'Sean Chapman', 'Oliver Smith', 'Andrew Robinson']"
601624,Creed III,2023,3.5,325628,87769,116,You can’t run from your past.,English,['USA'],['Michael B. Jordan'],"['Michael B. Jordan', 'Tessa Thompson', 'Jonathan Majors', 'Phylicia Rashād', 'Mila Davis-Kent']"
27722,X2,2003,3.4,674798,109990,133,The time has come for those who are different to stand united.,English,['USA'],['Bryan Singer'],"['Patrick Stewart', 'Ian McKellen', 'Hugh Jackman', 'Famke Janssen', 'James Marsden']"
330810,Under the Silver Lake,2018,3.5,244348,67602,139,What are they hiding?,English,['USA'],['David Robert Mitchell'],"['Andrew Garfield', 'Riley Keough', 'Topher Grace', 'Callie Hernandez', 'Don McManus']"
483951,"Are You There God? It’s Me, Margaret.",2023,3.8,223152,77975,107,Discovering who you are is a journey that lasts a lifetime.,English,['USA'],['Kelly Fremon Craig'],"['Abby Ryder Fortson', 'Rachel McAdams', 'Kathy Bates', 'Elle Graham', 'Benny Safdie']"
434753,The King,2019,3.4,409569,82318,140,All hail,English,"['Australia', 'USA']",['David Michôd'],"['Timothée Chalamet', 'Joel Edgerton', 'Sean Harris', 'Tom Glynn-Carney', 'Lily-Rose Depp']"
50361,Closer,2004,3.4,364880,81125,104,"If you believe in love at first sight, you never stop looking.",English,"['UK', 'USA']",['Mike Nichols'],"['Julia Roberts', 'Jude Law', 'Natalie Portman', 'Clive Owen', 'Colin Stinton']"
50675,The Others,2001,3.7,454390,104311,104,"Sooner or later she’ll see them, then everything will be different.",English,"['Spain', 'USA']",['Alejandro Amenábar'],"['Nicole Kidman', 'Christopher Eccleston', 'Alakina Mann', 'James Bentley', 'Fionnula Flanagan']"
51423,Annie Hall,1977,4.0,387457,101795,93,A nervous romance.,English,['USA'],['Woody Allen'],"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane', 'Paul Simon']"
272503,20th Century Women,2016,4.0,256816,92765,119,,English,['USA'],['Mike Mills'],"['Annette Bening', 'Lucas Jade Zumann', 'Greta Gerwig', 'Elle Fanning', 'Billy Crudup']"
456327,Morbius,2022,1.6,364133,29990,105,The line between hero and villain will be broken.,English,['USA'],['Daniel Espinosa'],"['Jared Leto', 'Matt Smith', 'Adria Arjona', 'Jared Harris', 'Al Madrigal']"
49254,The Machinist,2004,3.8,380035,83035,101,A little guilt goes a long way…,English,['Spain'],['Brad Anderson'],"['Christian Bale', 'Jennifer Jason Leigh', 'Aitana Sánchez-Gijón', 'John Sharian', 'Michael Ironside']"
51814,The Godfather: Part III,1990,3.5,415167,78100,162,All the power on earth can’t change destiny.,English,['USA'],['Francis Ford Coppola'],"['Al Pacino', 'Diane Keaton', 'Talia Shire', 'Andy García', 'Eli Wallach']"
51634,My Own Private Idaho,1991,3.9,222334,77039,104,"Wherever, whatever, have a nice day.",English,['USA'],['Gus Van Sant'],"['River Phoenix', 'Keanu Reeves', 'William Richert', 'Udo Kier', 'Chiara Caselli']"
50735,Pirates of the Caribbean: On Stranger Tides,2011,2.8,797394,81731,137,Live Forever Or Die Trying.,English,"['UK', 'USA']",['Rob Marshall'],"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush', 'Ian McShane', 'Kevin McNally']"
